name,affiliation,homepage,scholarid
C. Aiswarya,CMI,http://www.cmi.ac.in/~aiswarya,NLwqvCwAAAAJ
C. Barry Jay,University of Technology Sydney,https://www.uts.edu.au/staff/barry.jay,Ml9nDYQAAAAJ
C. Carvalho de Souza,UNICAMP,http://www.ic.unicamp.br/~cid,t_w8cAkAAAAJ
C. Chandra Sekhar,IIT Madras,https://www.iitm.ac.in/info/fac/cchandra,rO5ZgW4AAAAJ
C. David Page,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~dpage,aNh0te8AAAAJ
C. David Page Jr.,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~dpage,aNh0te8AAAAJ
C. Edward Chow,UCCS,http://www.cs.uccs.edu/~chow,xLIQ4PYAAAAJ
C. Estelle Smith,Colorado School of Mines,https://estellesmithphd.com,1YmwfXoAAAAJ
C. Greg Plaxton,University of Texas at Austin,https://www.cs.utexas.edu/users/plaxton,NOSCHOLARPAGE
C. H. Ben Choi,Louisiana Tech University,http://www2.latech.edu/~choi,NOSCHOLARPAGE
C. H. van Berkel,TU Wien,https://sites.google.com/view/keesvanberkel,wuawd3kAAAAJ
C. Jinshong Hwang,Texas State University,https://cs.txstate.edu/accounts/profiles/ch01,NOSCHOLARPAGE
C. Karen Liu,Stanford University,https://tml.stanford.edu/people/karen-liu,i28fU0MAAAAJ
C. Krishna Mohan,IIT Hyderabad,http://www.iith.ac.in/~ckm,GvSsuVEAAAAJ
C. Lee Giles,Pennsylvania State University,https://clgiles.ist.psu.edu,sAkg9T8AAAAJ
C. Maria Keet,University of Cape Town,http://www.meteck.org,lccln9YAAAAJ
C. N. Campos,UNICAMP,http://www.ic.unicamp.br/~campos,t6j8h7UAAAAJ
C. Pandu Rangan,IIT Madras,http://www.cse.iitm.ac.in/~rangan,begDaeQAAAAJ
C. Pandurangan,IIT Madras,http://www.cse.iitm.ac.in/~rangan,begDaeQAAAAJ
C. R. Ramakrishnan 0001,Stony Brook University,http://www3.cs.stonybrook.edu/~cram,YGDOoXAAAAAJ
C. R. Subramanian 0001,IMSc,http://www.imsc.res.in/~crs,A_WrLWsAAAAJ
C. Ravindranath Chowdary,IIT (BHU) Varanasi,http://www.old.iitbhu.ac.in/cse/index.php/people/faculty/36.html,wWbOB0UAAAAJ
C. Seshadhri 0001,Univ. of California - Santa Cruz,https://users.soe.ucsc.edu/~sesh,NOSCHOLARPAGE
C. Siva Ram Murthy,IIT Madras,http://www.cse.iitm.ac.in/~murthy,VjJFBjcAAAAJ
C. V. Jawahar,IIIT Hyderabad,https://www.iiit.ac.in/~jawahar,U9dH-DoAAAAJ
C. Y. Roger Chen,Syracuse University,https://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people/?peopleid=2970,NOSCHOLARPAGE
C.-C. Jay Kuo,University of Southern California,http://mcl.usc.edu,81d60okAAAAJ
C.-H. Luke Ong,University of Oxford,https://www.cs.ox.ac.uk/luke.ong,NOSCHOLARPAGE
Caetano Traina,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/caetano,h2ivd3AAAAAJ
Caetano Traina Jr.,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/caetano,h2ivd3AAAAAJ
Caetano Traina Júnior,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/caetano,h2ivd3AAAAAJ
Cagatay Turkay,City University of London,https://www.city.ac.uk/people/academics/cagatay-turkay#profile=overview,ho0I_1kAAAAJ
Cagdas D. Onal,Worcester Polytechnic Institute,http://www.wpi.edu/academics/facultydir/cdo.html,3symmLYAAAAJ
Cagdas Denizel Onal,Worcester Polytechnic Institute,http://www.wpi.edu/academics/facultydir/cdo.html,3symmLYAAAAJ
Cagdas Evren Gerede,TOBB ETÜ,http://cegerede.etu.edu.tr,JMTNP1MAAAAJ
Cairong Zhao,Tongji University,https://vill.tongji.edu.cn/info/1067/1396.htm,z-XzWZcAAAAJ
Caitlin Kelleher,Washington University in St. Louis,https://www.cse.wustl.edu/~ckelleher,DqCFHY8AAAAJ
